src,dst
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
0,46
1,46
2,46
3,46
4,46
5,46
6,46
7,46
8,46
9,46
10,46
11,46
12,46
13,46
14,46
15,46
16,46
17,46
18,46
19,46
20,46
21,46
22,46
23,46
24,46
25,46
26,46
27,46
28,46
29,46
30,46
31,46
32,46
33,46
34,46
35,46
36,46
37,46
38,46
39,46
40,46
41,46
42,46
43,46
44,46
45,46
