operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,http_num,activity_device,device_num,session_indicator,targets,graph_indicator
logon,0,1,0,1,0,0,0,0,7799,1,7799
device,3,3,3,3,3,0,1,0,7799,1,7799
http,1,1,1,1,1,0,1,0,7799,1,7799
device,3,3,3,3,3,0,0,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
email,2,2,2,2,2,0,2,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
email,2,2,2,2,2,0,2,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
email,2,2,2,2,2,0,2,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
http,1,1,1,1,0,0,1,0,7799,1,7799
logon,0,0,0,0,0,0,0,0,7799,1,7799
5,5,5,5,5,5,1,5,2,7799,1,7799
