operation,Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,http_num,activity_device,device_num,session_indicator,targets,graph_indicator
logon,0,1,0,1,0,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
http,1,1,1,1,0,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
file,4,4,4,4,4,0,4,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
device,3,3,3,3,3,0,1,0,3590,0,3590
device,3,3,3,3,3,0,0,0,3590,0,3590
logon,0,0,0,0,0,0,0,0,3590,0,3590
5,5,5,5,5,5,0,5,18,3590,0,3590
